symbol,entry_time,exit_time,entry_raw_price,entry_price,exit_raw_price,exit_price,shares,side,pairSide,entry_z,exit_z,entry_spread,exit_spread,hold_bars,exit_reason,entry_fee,exit_fee,gross_pnl,pnl
SPY,2023-02-16,2023-03-02,408.2799987792969,408.4841387786865,397.80999755859375,397.6110925598145,110,BUY,longSpread,-1.6116708859706643,-0.2116860150242969,-0.004886639918487035,-0.004664741978020359,9,meanRevert,1.0,1.0,-1196.035084075919,-1198.035084075919
IVV,2023-02-16,2023-03-02,410.2799987792969,410.07485877990723,399.6700134277344,399.8698484344482,109,SELL,longSpread,-1.6116708859706643,-0.2116860150242969,-0.004886639918487035,-0.004664741978020359,9,meanRevert,1.0,1.0,1112.3461276550327,1110.3461276550327
SPY,2023-03-06,2023-03-07,404.4700012207031,404.6722362213134,398.2699890136719,398.07085401916504,111,BUY,longSpread,-2.463151563640108,-0.07731052339987726,-0.0051047750198831565,-0.004659366854685487,1,meanRevert,1.0,1.0,-732.7534244384708,-734.7534244384708
IVV,2023-03-06,2023-03-07,406.5400085449219,406.33673854064943,400.1300048828125,400.33006988525386,110,SELL,longSpread,-2.463151563640108,-0.07731052339987726,-0.0051047750198831565,-0.004659366854685487,1,meanRevert,1.0,1.0,660.7335520935129,658.7335520935129
SPY,2023-03-10,2023-03-14,385.9100036621094,386.1029586639404,391.7300109863281,391.534145980835,116,BUY,longSpread,-2.0957953729431664,-0.27760413737996664,-0.005091834878358625,-0.004711461750937396,2,meanRevert,1.0,1.0,630.0177287597712,628.0177287597712
IVV,2023-03-10,2023-03-14,387.8800048828125,387.68606488037113,393.5799865722656,393.77677656555176,115,SELL,longSpread,-2.0957953729431664,-0.27760413737996664,-0.005091834878358625,-0.004711461750937396,2,meanRevert,1.0,1.0,-700.4318437957716,-702.4318437957716
SPY,2023-03-17,2023-04-17,389.989990234375,390.18498522949216,413.94000244140625,413.7330324401856,115,BUY,longSpread,-4.202516172408057,0.3477121870090848,-0.008121049736277364,-0.004435229598989565,20,maxHold,1.0,1.0,2708.025429229744,2706.025429229744
IVV,2023-03-17,2023-04-17,393.1700134277344,392.9734284210205,415.7799987792969,415.9878887786865,114,SELL,longSpread,-4.202516172408057,0.3477121870090848,-0.008121049736277364,-0.004435229598989565,20,maxHold,1.0,1.0,-2623.6484807739234,-2625.6484807739234
SPY,2023-05-03,2023-05-08,408.0199890136719,407.81597901916507,412.739990234375,412.94636022949214,110,SELL,shortSpread,1.5944184325740238,0.16164052891981065,-0.00415783666306524,-0.004303366706780665,3,meanRevert,1.0,1.0,-564.341933135978,-566.341933135978
IVV,2023-05-03,2023-05-08,409.7200012207031,409.92486122131345,414.5199890136719,414.3127290191651,109,BUY,shortSpread,1.5944184325740238,0.16164052891981065,-0.00415783666306524,-0.004303366706780665,3,meanRevert,1.0,1.0,478.27758996582884,476.27758996582884
SPY,2023-05-09,2023-05-16,410.9299926757813,411.1354576721192,410.25,410.04487500000005,109,BUY,longSpread,-1.799476399021083,0.24706119340318536,-0.004612987553692882,-0.00428091463182767,5,meanRevert,1.0,1.0,-118.87351126098474,-120.87351126098474
IVV,2023-05-09,2023-05-16,412.8299865722656,412.6235715789795,412.010009765625,412.2160147705078,108,SELL,longSpread,-1.799476399021083,0.24706119340318536,-0.004612987553692882,-0.00428091463182767,5,meanRevert,1.0,1.0,44.01613531494627,42.01613531494627
SPY,2023-05-26,2023-06-02,420.0199890136719,420.2299990081787,427.9200134277344,427.70605342102056,106,BUY,longSpread,-1.7279141985481534,-0.19183025191619207,-0.0045845494994143365,-0.004360443581643558,4,meanRevert,1.0,1.0,792.4617677612358,790.4617677612358
IVV,2023-05-26,2023-06-02,421.9500122070313,421.73903720092784,429.7900085449219,430.0049035491943,106,SELL,longSpread,-1.7279141985481534,-0.19183025191619207,-0.0045845494994143365,-0.004360443581643558,4,meanRevert,1.0,1.0,-876.1818329162444,-878.1818329162444
SPY,2023-06-07,2023-07-07,426.5499877929687,426.33671279907225,438.5499877929687,438.76926278686517,105,SELL,shortSpread,4.189684134641972,-0.5912045289338533,-0.0015461108733783036,-0.005117427583393841,20,maxHold,1.0,1.0,-1305.4177487182571,-1307.4177487182571
IVV,2023-06-07,2023-07-07,427.2099914550781,427.42359645080563,440.7999877929687,440.5795877990722,104,BUY,shortSpread,4.189684134641972,-0.5912045289338533,-0.0015461108733783036,-0.005117427583393841,20,maxHold,1.0,1.0,1368.2231002197245,1366.2231002197245
